SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CNC(=O)C[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1Cl)NC(=O)[C@H]([NH3+])Cc1ccccc1C#N,"8UDF_prepared_dry_ligand",1,Done,42.735,-10.5565,"glide-grid_8udf",-10.7568,-3.94883,-0.729784,-0,-0.567953,-58.1822,-19.8079,0.584814,-0.214793,-128.861,-77.9901,9.98477
CNC(=O)C[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1Cl)NC(=O)[C@H](N)Cc1ccccc1C#N,"8UDF_prepared_dry_ligand",2,Done,11.031,-7.71047,"glide-grid_8udf",-8.45037,-3.56356,-0.811866,-0,-0.194397,-57.4867,-9.96996,0.587825,-0.0985361,-98.5946,-67.4567,9.58078
